"animal_id","year_cap","event","wyey","dmp_pasture","birth_site","birth_year"
"270-2009-1-010",2013,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-010",2014,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-011",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-011",2010,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-011",2011,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-011",2012,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-011",2013,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-011",2014,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-011",2015,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-012",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-012",2010,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-012",2011,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-012",2012,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-012",2013,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-012",2014,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-012",2015,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-012",2016,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-012",2017,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-013",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-013",2010,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-020",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-020",2010,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-020",2011,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-020",2012,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-020",2013,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-020",2014,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-020",2015,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-020",2016,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-021",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-021",2010,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-021",2011,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-021",2012,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-021",2013,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-021",2014,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-021",2015,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-021",2016,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-022",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-023",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-023",2010,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-023",2011,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-023",2012,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-023",2013,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-023",2014,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-023",2015,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-023",2016,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-023",2017,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-024",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-024",2010,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-024",2011,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-024",2012,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-024",2013,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-024",2014,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-024",2015,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-024",2016,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-024",2017,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-024",2018,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-024",2019,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-024",2020,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-029",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-032",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-033",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-033",2010,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-033",2011,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-033",2013,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-038",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-038",2010,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-038",2011,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-038",2012,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-038",2013,1,"west yana","dmp","west yana_dmp",2009
"270-2010-1-001",2010,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-001",2011,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-001",2012,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-001",2013,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-001",2014,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-001",2015,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-001",2016,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-001",2017,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-001",2018,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-001",2019,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-001",2020,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-001",2021,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-003",2010,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-003",2011,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-003",2012,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-003",2013,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-003",2014,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-003",2015,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-003",2016,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-003",2017,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-003",2018,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-004",2010,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-004",2011,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-004",2012,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-005",2010,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-005",2011,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-005",2012,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-005",2013,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-005",2014,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-005",2015,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-005",2016,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-005",2017,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-005",2018,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-005",2019,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-005",2020,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-006",2010,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-006",2011,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-006",2012,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-006",2013,1,"west yana","dmp","west yana_dmp",2010
