"year","month","avgtemp","maxtemp","maxtempC","avgtempC"
"2014","09",81.8,91.2,32.8888888888889,27.6666666666667
"2014","10",75.9,88.3,31.2777777777778,24.3888888888889
"2014","11",57.7,68,20,14.2777777777778
"2014","12",58,66.8,19.3333333333333,14.4444444444444
"2015","01",50.2,59.9,15.5,10.1111111111111
"2015","02",56.4,67,19.4444444444444,13.5555555555556
"2015","03",61.8,71.2,21.7777777777778,16.5555555555556
"2015","04",72.7,81.9,27.7222222222222,22.6111111111111
"2015","05",77.6,86.1,30.0555555555556,25.3333333333333
"2015","06",81.4,90.8,32.6666666666667,27.4444444444444
"2015","07",85.9,97.9,36.6111111111111,29.9444444444444
"2015","08",87.1,100.2,37.8888888888889,30.6111111111111
"2015","09",83.8,96,35.5555555555556,28.7777777777778
"2015","10",76.9,88.7,31.5,24.9444444444444
"2015","11",64.3,73.6,23.1111111111111,17.9444444444444
"2015","12",57.1,70.5,21.3888888888889,13.9444444444444
"2016","01",52.6,66.1,18.9444444444444,11.4444444444444
"2016","02",62,78.2,25.6666666666667,16.6666666666667
"2016","03",68.6,80.7,27.0555555555556,20.3333333333333
"2016","04",72.8,85,29.4444444444444,22.6666666666667
"2016","05",77.8,87.3,30.7222222222222,25.4444444444444
"2016","06",83.6,95.3,35.1666666666667,28.6666666666667
"2016","07",89.3,102.1,38.9444444444444,31.8333333333333
"2016","08",85.9,96.2,35.6666666666667,29.9444444444444
"2016","09",82.8,93.4,34.1111111111111,28.2222222222222
"2016","10",76.3,89.3,31.8333333333333,24.6111111111111
"2016","11",68.4,78.7,25.9444444444444,20.2222222222222
"2016","12",57.8,65.3,18.5,14.3333333333333
"2017","01",59.5,72.9,22.7222222222222,15.2777777777778
"2017","02",66,80.8,27.1111111111111,18.8888888888889
"2017","03",70.6,81.1,27.2777777777778,21.4444444444444
"2017","04",74.1,87.2,30.6666666666667,23.3888888888889
"2017","05",78.5,91,32.7777777777778,25.8333333333333
"2017","06",84.6,96.8,36,29.2222222222222
"2017","07",88,100.9,38.2777777777778,31.1111111111111
"2017","08",86.7,98.9,37.1666666666667,30.3888888888889
"2017","09",81.9,93.7,34.2777777777778,27.7222222222222
"2017","10",71.2,83.6,28.6666666666667,21.7777777777778
"2017","11",65.7,77.1,25.0555555555556,18.7222222222222
"2017","12",54.1,63.7,17.6111111111111,12.2777777777778
"2018","01",49.5,62.2,16.7777777777778,9.72222222222222
"2018","02",61.8,71.8,22.1111111111111,16.5555555555556
"2018","03",70.1,82.6,28.1111111111111,21.1666666666667
"2018","04",70.8,84.4,29.1111111111111,21.5555555555556
"2018","05",82.5,94.9,34.9444444444444,28.0555555555556
"2018","06",88.1,99.9,37.7222222222222,31.1666666666667
"2018","07",87.9,101.4,38.5555555555556,31.0555555555556
"2018","08",86.9,99.4,37.4444444444444,30.5
"2018","09",80.6,88,31.1111111111111,27
"2018","10",71.2,78.1,25.6111111111111,21.7777777777778
"2018","11",59.3,69.8,21,15.1666666666667
"2018","12",55.7,68.2,20.1111111111111,13.1666666666667
"2019","01",53.1,64.8,18.2222222222222,11.7222222222222
"2019","02",59.7,70.7,21.5,15.3888888888889
"2019","03",65,75.4,24.1111111111111,18.3333333333333
"2019","04",69.8,85.1,29.5,21
"2019","05",80.5,89.8,32.1111111111111,26.9444444444444
"2019","06",85.8,97.7,36.5,29.8888888888889
"2019","07",87.6,100.9,38.2777777777778,30.8888888888889
"2019","08",90.3,103.4,39.6666666666667,32.3888888888889
"2019","09",86.4,97.8,36.5555555555556,30.2222222222222
"2019","10",74.4,86.5,30.2777777777778,23.5555555555556
"2019","11",59.9,71.4,21.8888888888889,15.5
"2019","12",57,73.2,22.8888888888889,13.8888888888889
"2020","01",58.4,71,21.6666666666667,14.6666666666667
"2020","02",58.2,71.4,21.8888888888889,14.5555555555556
"2020","03",72.2,83.3,28.5,22.3333333333333
"2020","04",72.7,86,30,22.6111111111111
"2020","05",81,93.7,34.2777777777778,27.2222222222222
"2020","06",84.2,96,35.5555555555556,29
"2020","07",88.8,101.5,38.6111111111111,31.5555555555556
"2020","08",88.1,101.2,38.4444444444444,31.1666666666667
"2020","09",79.1,90.4,32.4444444444444,26.1666666666667
"2020","10",73.5,87.6,30.8888888888889,23.0555555555556
"2020","11",68.2,81.3,27.3888888888889,20.1111111111111
"2020","12",55.2,71.1,21.7222222222222,12.8888888888889
"2021","01",54,66.2,19,12.2222222222222
"2021","02",53.5,65.7,18.7222222222222,11.9444444444444
"2021","03",67.4,81.8,27.6666666666667,19.6666666666667
"2021","04",72.8,86.2,30.1111111111111,22.6666666666667
"2021","05",79.1,90.1,32.2777777777778,26.1666666666667
"2021","06",84.2,95.1,35.0555555555556,29
"2021","07",83.8,94,34.4444444444444,28.7777777777778
"2021","08",85.2,96,35.5555555555556,29.5555555555556
"2021","09",82.5,96.6,35.8888888888889,28.0555555555556
"2021","10",76.6,90,32.2222222222222,24.7777777777778
"2021","11",64,76.2,24.5555555555556,17.7777777777778
"2021","12",65.3,77.6,25.3333333333333,18.5
"2022","01",52.3,67.2,19.5555555555556,11.2777777777778
"2022","02",54,68.8,20.4444444444444,12.2222222222222
"2022","03",64,81.3,27.3888888888889,17.7777777777778
"2022","04",76.6,89.8,32.1111111111111,24.7777777777778
"2022","05",85,97.7,36.5,29.4444444444444
"2022","06",88.4,102,38.8888888888889,31.3333333333333
"2022","07",90.1,103.8,39.8888888888889,32.2777777777778
"2022","08",86.5,97.2,36.2222222222222,30.2777777777778
"2022","09",80.8,91.9,33.2777777777778,27.1111111111111
"2022","10",71.7,84.4,29.1111111111111,22.0555555555556
"2022","11",60.7,69.8,21,15.9444444444444
"2022","12",56.5,66.1,18.9444444444444,13.6111111111111
