"zero_indices","animal_id","birth_year","bs","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
FALSE,"270-2011-1-242",2011,"dmp",0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,2
FALSE,"270-2011-1-243",2011,"dmp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2011-1-244",2011,"dmp",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
FALSE,"270-2011-1-246",2011,"dmp",0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
FALSE,"270-2011-1-247",2011,"dmp",0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0
FALSE,"270-2011-1-248",2011,"dmp",0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0
FALSE,"270-2011-1-249",2011,"dmp",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
FALSE,"270-2011-1-250",2011,"dmp",0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
FALSE,"270-2011-1-260",2011,"dmp",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
FALSE,"270-2011-1-261",2011,"dmp",0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2011-1-266",2011,"dmp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2011-1-268",2011,"dmp",0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
FALSE,"270-2011-1-269",2011,"dmp",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
FALSE,"270-2011-1-295",2011,"dmp",0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0
FALSE,"270-2011-1-300",2011,"dmp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2011-1-318",2011,"dmp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2011-1-321",2011,"dmp",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
FALSE,"270-2011-1-322",2011,"dmp",0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
FALSE,"270-2011-1-333",2011,"dmp",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
FALSE,"270-2012-0-152",2012,"wy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2012-0-153",2012,"wy",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
FALSE,"270-2012-0-330",2012,"wy",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
FALSE,"270-2012-0-331",2012,"wy",0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
FALSE,"270-2012-0-332",2012,"wy",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
FALSE,"270-2012-0-333",2012,"wy",0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
FALSE,"270-2012-0-334",2012,"wy",0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
FALSE,"270-2012-0-335",2012,"wy",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
FALSE,"270-2012-0-336",2012,"wy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2012-0-337",2012,"wy",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2
FALSE,"270-2012-0-338",2012,"wy",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
FALSE,"270-2012-0-339",2012,"wy",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
FALSE,"270-2012-0-340",2012,"wy",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
FALSE,"270-2012-0-341",2012,"wy",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
FALSE,"270-2012-0-342",2012,"wy",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2
FALSE,"270-2012-0-343",2012,"wy",0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
