"animal_id","date","year_cap","year_birth","cap_loc","rel_loc","sex","age","weight","dmp_past","B.C.Score","month","monthday","early.late"
"270-2012-1-230",2012-07-12,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-12",1
"270-2012-1-231",2012-07-12,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-12",1
"270-2012-1-232",2012-07-12,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-12",1
"270-2012-1-233",2012-07-14,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-14",1
"270-2012-1-236",2012-07-14,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-14",1
"270-2012-1-237",2012-07-14,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-14",1
"270-2012-1-238",2012-07-14,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-14",1
"270-2012-1-248",2012-07-17,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-17",1
"270-2012-1-250",2012-07-17,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-17",1
"270-2012-1-260",2012-07-20,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-20",1
"270-2012-1-262",2012-07-20,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-20",1
"270-2012-1-263",2012-07-20,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-20",1
"270-2012-1-265",2012-07-20,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-20",1
"270-2012-1-266",2012-07-20,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-20",1
"270-2012-1-274",2012-07-24,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-24",1
"270-2012-1-277",2012-07-24,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-24",1
"270-2012-1-278",2012-07-24,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-24",1
"270-2012-1-284",2012-07-27,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-27",1
"270-2012-1-305",2012-08-03,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-03",2
"270-2012-1-314",2012-08-08,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-08",2
"270-2013-1-202",2013-07-01,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-01",1
"270-2013-1-204",2013-07-01,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-01",1
