p2.5,site
0.877851377,1
0.877742816,1
0.877609702,1
0.877476649,1
0.877344797,1
0.877272219,1
0.877249236,1
0.87726558,1
0.877175781,1
0.877127631,1
0.87710305,1
0.877040866,1
0.876960835,1
0.876880758,1
0.876815372,1
0.87676396,1
0.876772044,1
0.87681343,1
0.876709201,1
0.876591134,1
0.876509004,1
0.876456893,1
0.876406102,1
0.876355292,1
0.876304465,1
0.876253207,1
0.876172911,1
0.876131235,1
0.876090625,1
0.876048851,1
0.875998516,1
0.875969136,1
0.875928274,1
0.875887151,1
0.875846016,1
0.875801791,1
0.875742872,1
0.875684182,1
0.87562549,1
0.875569216,1
0.875507369,1
0.875447922,1
0.875382685,1
0.875328496,1
0.875268495,1
0.875208914,1
0.875149865,1
0.875090791,1
0.875031693,1
0.874972572,1
0.874913426,1
0.874854257,1
0.874795063,1
0.874746367,1
0.874698801,1
0.87465122,1
0.874603623,1
0.874556011,1
0.874508383,1
0.874376674,1
0.874313871,1
0.874251038,1
0.874188177,1
0.874125285,1
0.874065628,1
0.873966769,1
0.873794936,1
0.873622896,1
0.873584977,1
0.873596389,1
0.873483187,1
0.873388432,1
0.873381141,1
0.873374161,1
0.873353541,1
0.873266222,1
0.873178852,1
0.87309143,1
0.873004778,1
0.87291859,1
0.872832351,1
0.872793695,1
0.872662596,1
0.872566484,1
0.872478024,1
0.872393448,1
0.872343796,1
0.872294127,1
0.872245636,1
0.872197177,1
0.872091218,1
0.872048638,1
0.871934902,1
0.871749384,1
0.871629464,1
0.871525804,1
0.871481493,1
0.871437168,1
0.871392831,1
0.871279502,1
0.871078371,1
0.870959728,1
0.870867156,1
0.870774525,1
0.87068402,1
0.87059491,1
0.870505747,1
0.870344291,1
0.870163828,1
0.870046642,1
0.869983592,1
0.869920514,1
0.86983661,1
0.869685597,1
0.869535847,1
0.869385949,1
0.869235904,1
0.869085712,1
0.868993748,1
0.868930769,1
0.868867764,1
0.868804734,1
0.868741678,1
0.868678597,1
0.868597623,1
0.868533875,1
0.868473692,1
0.868414739,1
0.868355762,1
0.868299566,1
0.868236304,1
0.868112188,1
0.868034411,1
0.86793385,1
0.867806283,1
0.867745892,1
0.867620293,1
0.867485185,1
0.867357679,1
0.86729813,1
0.867238556,1
0.867180386,1
0.867065761,1
0.866927861,1
0.866775209,1
0.866649848,1
0.86653399,1
0.866432978,1
0.866277574,1
0.866122018,1
0.865966309,1
0.865810447,1
0.865669043,1
0.865527962,1
0.865386757,1
0.865245829,1
0.865106944,1
0.86501266,1
0.86491832,1
0.864823923,1
0.864729471,1
0.864635177,1
0.864541963,1
0.864448694,1
0.864355372,1
0.864261996,1
0.864168565,1
0.86407508,1
0.863981541,1
0.863887947,1
0.8637943,1
0.863700598,1
0.863606842,1
0.863513031,1
0.863419167,1
0.863325248,1
0.863215187,1
0.863073835,1
0.862932359,1
0.862789964,1
0.862646016,1
0.862501941,1
0.862357739,1
0.862213409,1
0.862068953,1
0.861925734,1
0.861783761,1
0.861641664,1
0.861563648,1
0.861460322,1
0.861268742,1
0.861076939,1
0.860919239,1
0.860774709,1
0.860683031,1
0.860620064,1
0.860557442,1
0.860494796,1
0.860431269,1
0.86027597,1
0.860205246,1
0.860136278,1
0.860068127,1
0.859999949,1
0.85989863,1
0.859699502,1
0.859599416,1
0.859522608,1
0.859447362,1
0.859373391,1
0.859274886,1
0.859119199,1
0.858963368,1
0.858807392,1
0.858651271,1
0.85854547,1
0.858456548,1
0.858367578,1
0.858280036,1
0.85819264,1
0.858105199,1
0.858017712,1
0.857919433,1
0.857782116,1
0.857644688,1
0.857507149,1
0.857369498,1
0.857248433,1
0.857175067,1
0.857133581,1
0.857092085,1
0.857006816,1
0.85686353,1
0.856720124,1
0.85657543,1
0.856430328,1
0.856311339,1
0.856140214,1
0.855993603,1
0.855847692,1
0.855703575,1
0.855582343,1
0.855474655,1
0.855330837,1
0.855186899,1
0.855042843,1
0.854898668,1
0.854754373,1
0.85460996,1
0.854465428,1
0.854320776,1
0.854176005,1
0.854031115,1
0.853883322,1
0.853730602,1
0.85357775,1
0.853424766,1
0.853271649,1
0.8531184,1
0.852965019,1
0.852811505,1
0.85267338,1
0.852524797,1
0.852369673,1
0.852214414,1
0.852089053,1
0.851990777,1
0.851845894,1
0.85175623,1
0.85168482,1
0.851613381,1
0.851530359,1
0.851436737,1
0.851343067,1
0.851249347,1
0.851155579,1
0.851062132,1
0.850942166,1
0.850787635,1
0.850632972,1
0.850478175,1
0.850323245,1
0.850168182,1
0.850038273,1
0.849943911,1
0.849876327,1
0.849730941,1
0.849585439,1
0.849439821,1
0.849294514,1
0.84915043,1
0.849006232,1
0.848896336,1
0.84876856,1
0.848603442,1
0.848438177,1
0.848276645,1
0.848129974,1
0.848018095,1
0.847922016,1
0.847825886,1
0.847730985,1
0.847636047,1
0.84754106,1
0.847446025,1
0.84732324,1
0.847189628,1
0.84705592,1
0.846926865,1
0.846830268,1
0.846733621,1
0.846584083,1
0.846439939,1
0.846288669,1
0.846138049,1
0.845987354,1
0.845840111,1
0.845704058,1
0.845567906,1
0.845431656,1
0.845295308,1
0.845158862,1
0.845022317,1
0.84486255,1
0.844682939,1
0.844503158,1
0.844323207,1
0.844164588,1
0.844011213,1
0.843857716,1
0.843704096,1
0.843550352,1
0.843396485,1
0.843242495,1
0.843088381,1
0.842927314,1
0.842750719,1
0.842573962,1
0.842398514,1
0.842223666,1
0.842048659,1
0.841918723,1
0.841822873,1
0.841703085,1
0.841547886,1
0.841392563,1
0.841237117,1
0.841081547,1
0.840926527,1
0.840772048,1
0.840617446,1
0.840463096,1
0.840308752,1
0.840154286,1
0.8399997,1
0.839871959,1
0.839766443,1
0.839660871,1
0.839555243,1
0.839449558,1
0.83932322,1
0.839213158,1
0.839103034,1
0.838994488,1
0.838886065,1
0.838777584,1
0.838647822,1
0.838485257,1
0.83832256,1
0.83815973,1
0.837996767,1
0.837833673,1
0.837670445,1
0.837507085,1
0.837376216,1
0.837248168,1
0.837120038,1
0.836991826,1
0.836863533,1
0.836735159,1
0.836606703,1
0.836447554,1
0.836285253,1
0.836122822,1
0.835960261,1
0.835797571,1
0.835634751,1
0.835471802,1
0.835308722,1
0.835145514,1
0.834982175,1
0.834818706,1
0.834655108,1
0.834492607,1
0.834331011,1
0.834169287,1
0.834012091,1
0.833842839,1
0.833678165,1
0.833540175,1
0.833428337,1
0.833268843,1
0.833082396,1
0.832895781,1
0.832709,1
0.832525072,1
0.832397238,1
0.832285495,1
0.832173692,1
0.83206183,1
0.831930033,1
0.831760788,1
0.831591405,1
0.831483577,1
0.83138877,1
0.831295237,1
0.831202337,1
0.831109396,1
0.831016414,1
0.830923391,1
0.830828349,1
0.83063667,1
0.830482304,1
0.83038727,1
0.830292192,1
0.830197071,1
0.830101906,1
0.829947759,1
0.829783317,1
0.829618749,1
0.829454053,1
0.82928923,1
0.829165425,1
0.828995063,1
0.828816601,1
0.828637991,1
0.828459233,1
0.828285795,1
0.828100765,1
0.827920799,1
0.827740683,1
0.827560417,1
0.827380003,1
