animal_id,birth_year,age,status,cap_year
270-2011-0-335,2011,11.5,Captured,2022
270-2011-0-336,2011,0.5,Captured,2011
270-2011-0-336,2011,1.5,Alive-Cuddy,2012
270-2011-0-336,2011,2.5,Captured,2013
270-2011-0-336,2011,3.5,Captured,2014
270-2011-0-336,2011,4.5,Captured,2015
270-2011-0-336,2011,5.5,Captured,2016
270-2011-0-336,2011,6.5,Captured,2017
270-2011-0-336,2011,7.5,Alive-Cuddy,2018
270-2011-0-336,2011,8.5,Alive-Cuddy,2019
270-2011-0-336,2011,9.5,Alive-Cuddy,2020
270-2011-0-336,2021,10.5,Captured,2021
270-2011-0-336,2011,11.5,Harvested,2022
270-2011-0-337,2011,0.5,Captured,2011
270-2011-0-337,2011,1.5,Captured,2012
270-2011-0-337,2011,2.5,Captured,2013
270-2011-0-337,2011,3.5,Captured,2014
270-2011-0-337,2011,4.5,Alive-Cuddy,2015
270-2011-0-337,2011,5.5,Captured,2016
270-2011-0-337,2011,6.5,Captured,2017
270-2011-0-337,2011,7.5,Alive-Cuddy,2018
270-2011-0-337,2011,8.5,Alive-Cuddy,2019
270-2011-0-337,2011,9.5,Captured,2020
270-2011-0-337,2011,10.5,Alive-Cuddy,2021
270-2011-0-338,2011,0.5,Captured,2011
270-2011-0-338,2011,1.5,Captured,2012
270-2011-0-338,2011,2.5,Captured,2013
270-2011-0-338,2011,3.5,Captured,2014
270-2011-0-338,2011,4.5,Captured,2015
270-2011-0-338,2011,5.5,Captured,2016
270-2011-0-338,2011,6.5,Captured,2017
270-2011-0-338,2011,7.5,Captured,2018
270-2011-0-338,2011,8.5,Captured,2019
270-2011-0-338,2011,9.5,Nat Mortality,2020
270-2011-0-339,2011,0.5,Captured,2011
270-2011-0-339,2011,1.5,Captured,2012
270-2011-0-339,2011,2.5,Captured,2013
270-2011-0-339,2011,3.5,Captured,2014
270-2011-0-339,2011,4.5,Captured,2015
270-2011-0-339,2011,5.5,Captured,2016
270-2011-0-339,2011,6.5,Alive-Cuddy,2017
270-2011-0-339,2011,7.5,Alive-Cuddy,2018
270-2011-0-340,2011,0.5,Captured,2011
270-2011-0-340,2011,1.5,Captured,2012
270-2011-0-340,2011,2.5,Captured,2013
270-2011-0-340,2011,3.5,Captured,2014
270-2011-0-340,2011,4.5,Captured,2015
270-2011-0-340,2011,5.5,Captured,2016
270-2011-0-340,2011,6.5,Captured,2017
270-2011-0-340,2011,7.5,Captured,2018
270-2011-0-341,2011,0.5,Captured,2011
270-2011-0-341,2011,1.5,Alive-Cuddy,2012
270-2011-0-341,2011,2.5,Alive-Cuddy,2013
270-2011-0-341,2011,3.5,Captured,2014
270-2011-0-341,2011,5.5,Captured,2016
270-2011-0-341,2011,6.5,Captured,2017
270-2011-0-341,2011,7.5,Alive-Cuddy,2018
270-2011-0-341,2011,9.5,Captured,2020
270-2011-0-341,2011,11.5,Harvested,2022
270-2011-0-342,2011,0.5,Captured,2011
270-2011-0-342,2011,1.5,Captured,2012
270-2011-0-342,2011,2.5,Alive-Cuddy,2013
270-2011-0-343,2011,0.5,Captured,2011
270-2011-0-343,2011,1.5,Captured,2012
270-2011-0-343,2011,2.5,Alive-Cuddy,2013
270-2011-0-343,2011,3.5,Alive-Cuddy,2014
270-2011-0-343,2011,4.5,Captured,2015
270-2011-0-343,2011,5.5,Captured,2016
270-2011-0-343,2011,6.5,Captured,2017
270-2011-0-343,2011,7.5,Alive-Cuddy,2018
270-2011-0-344,2011,0.5,Captured,2011
270-2011-0-344,2011,1.5,Captured,2012
270-2011-0-345,2011,0.5,Captured,2011
270-2011-0-345,2011,1.5,Captured,2012
270-2011-0-345,2011,2.5,Captured,2013
270-2011-0-345,2011,3.5,Alive-Cuddy,2014
270-2011-0-345,2011,4.5,Captured,2015
270-2011-0-345,2011,5.5,Captured,2016
270-2011-0-345,2011,6.5,Alive-Cuddy,2017
