animal_id,date,year_cap,year_birth,cap_loc,rel_loc,sex,age,weight,dmp_past,B.C.Score,month
270-2013-1-217,7/5/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-225,7/8/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-227,7/8/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-230,7/10/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-231,7/10/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-232,7/10/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-234,7/10/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-238,7/12/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-239,7/12/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-242,7/15/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-246,7/17/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-249,7/17/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-252,7/19/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-254,7/22/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-256,7/24/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-257,7/24/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-402,6/30/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,june
270-2014-1-403,6/30/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,june
270-2014-1-406,7/2/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-407,7/7/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-410,7/7/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-411,7/7/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-412,7/7/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-413,7/7/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-414,7/9/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-416,7/9/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-418,7/9/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-421,7/11/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-422,7/14/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-423,7/16/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-428,7/21/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-429,7/21/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-434,7/25/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2014-1-438,8/4/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2014-1-439,8/7/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2014-1-440,8/7/2014,2014,2014,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2015-1-503,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-504,6/29/2015,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,june
270-2015-1-507,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-508,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
